Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-01-24,Bills,Cash,Magazine wall role.,1738.31,0.0
2024-01-19,Food,Wallet,Whether first.,4377.1,0.0
2024-01-08,Subscriptions,Cash,Ok result everyone.,3159.54,0.0
2024-01-06,Gifts,Debit Card,Well decade fish.,2312.49,0.0
2024-01-24,Gifts,Credit Card,Hold finish speak.,1021.79,0.0
2024-01-15,Transportation,Credit Card,Magazine.,3962.61,0.0
2024-01-10,Entertainment,UPI,Adult foreign.,607.95,0.0
2024-01-03,Bills,UPI,Popular painting.,2962.37,0.0
2024-01-22,Transportation,Wallet,Current live four.,356.21,11.57
2024-01-05,Transportation,UPI,Interview situation.,1053.52,0.0
2024-01-03,Entertainment,UPI,Big establish.,3735.96,0.0
2024-01-02,Transportation,Debit Card,Garden return note.,4792.31,0.0
2024-01-19,Entertainment,Debit Card,The get or big.,4085.12,0.0
2024-01-22,Food,Cash,Recognize man.,967.82,0.0
2024-01-15,Groceries,Debit Card,Suffer material I.,891.35,0.0
2024-01-17,Transportation,Credit Card,Hard something.,1019.97,25.05
2024-01-08,Food,Cash,Look public here.,1879.44,0.0
2024-01-07,Transportation,Credit Card,Hair respond learn.,2132.87,0.0
2024-01-11,Transportation,Credit Card,Old we Republican.,1020.29,0.0
2024-01-05,Bills,Cash,Door six hand rock.,3006.52,258.36
2024-01-20,Bills,Wallet,Cultural apply.,1812.27,0.0
2024-01-12,Food,Cash,Mouth mind culture.,437.68,20.42
2024-01-14,Groceries,Wallet,Western around.,1845.89,0.0
2024-01-27,Groceries,UPI,Center already.,1091.04,0.0
2024-01-14,Entertainment,Cash,Heavy glass player.,2231.72,0.0
2024-01-27,Bills,Wallet,Professional spend.,3899.62,0.0
2024-01-13,Gifts,Credit Card,Two analysis.,3487.96,0.0
2024-01-01,Food,UPI,Large heavy his its.,3620.08,0.0
2024-01-22,Gifts,UPI,Major suggest.,1195.47,0.0
2024-01-13,Subscriptions,UPI,Imagine drive son.,1856.69,0.0
2024-01-10,Transportation,Debit Card,Economy miss.,3332.07,0.0
2024-01-17,Gifts,UPI,Fund large range.,1825.92,124.86
2024-01-13,Transportation,Cash,Piece consider box.,159.1,0.0
2024-01-02,Food,Debit Card,Professor economy.,2853.91,272.34
2024-01-15,Groceries,UPI,For happen bar.,1997.11,0.0
2024-01-22,Food,Debit Card,Capital never real.,1528.93,0.0
2024-01-20,Subscriptions,Wallet,Next actually rule.,4612.35,0.0
2024-01-16,Entertainment,Credit Card,Program think.,1799.98,0.0
2024-01-16,Transportation,Wallet,Arrive outside.,1434.73,0.0
2024-01-25,Transportation,Wallet,Writer activity.,197.99,0.0
2024-01-01,Subscriptions,Cash,Perform letter arm.,3915.29,131.77
2024-01-12,Entertainment,Credit Card,Film then.,2463.24,0.0
2024-01-25,Gifts,UPI,Two today citizen.,2985.79,0.0
2024-01-08,Bills,Cash,Outside analysis of.,3128.92,0.0
2024-01-20,Entertainment,Wallet,Adult seat western.,4901.69,0.0
2024-01-01,Entertainment,Wallet,Possible support.,2215.02,0.0
2024-01-16,Subscriptions,Debit Card,Skill grow PM after.,2414.57,0.0
2024-01-19,Subscriptions,Credit Card,Reveal political.,799.29,59.43
2024-01-01,Transportation,Credit Card,Enter group art.,3555.85,0.0
2024-01-07,Groceries,UPI,Fall ok right.,4295.29,0.0
2024-01-11,Bills,Cash,Carry forward.,3285.32,0.0
2024-01-14,Subscriptions,UPI,Product across.,882.25,0.0
2024-01-05,Transportation,Debit Card,Consumer sign base.,2387.08,0.0
2024-01-14,Bills,Cash,Why none identify.,2918.15,180.73
2024-01-09,Gifts,UPI,Term value program.,1921.5,0.0
2024-01-06,Subscriptions,Credit Card,Ready idea believe.,2041.86,149.47
